package,description,status,type
ansible-lint,https://ansible-lint.readthedocs.io/,installed,cli
autojump,https://github.com/wting/autojump,installed,cli
aview,https://aa-project.sourceforge.net/,installed,cli
bat,https://github.com/sharkdp/bat,installed,cli
bat-extras,https://github.com/eth-p/bat-extras,installed,cli
bc,https://www.gnu.org/software/bc/,installed,cli
blueutil,https://github.com/toy/blueutil,installed,cli
bottom,https://clementtsang.github.io/bottom/,installed,cli
btop,https://github.com/aristocratos/btop,installed,cli
cask,https://cask.readthedocs.io/,installed,cli
clintmod/formulas/macprefs,https://github.com/clintmod/macprefs,installed,cli
clipboard,https://getclipboard.app,installed,cli
csvkit,https://csvkit.readthedocs.io/,installed,cli
deno,https://deno.land/,installed,cli
dict,https://dict.org/bin/Dict,installed,cli
diff-so-fancy,https://github.com/so-fancy/diff-so-fancy,installed,cli
exiftool,https://exiftool.org,installed,cli
eza,https://github.com/eza-community/eza,installed,cli
figlet,http://www.figlet.org/,installed,cli
fnm,https://github.com/Schniz/fnm,installed,cli
fortune,https://www.ibiblio.org/pub/linux/games/amusements/fortune/!INDEX.html,installed,cli
gh,https://cli.github.com/,installed,cli
git,https://git-scm.com,installed,cli
glow,https://github.com/charmbracelet/glow,installed,cli
gnupg,https://gnupg.org/,installed,cli
grip,https://github.com/joeyespo/grip,installed,cli
helix,https://helix-editor.com,installed,cli
htop,https://htop.dev/,installed,cli
imagemagick,https://imagemagick.org/index.php,installed,cli
imlib2,https://sourceforge.net/projects/enlightenment/,installed,cli
joshuto,https://github.com/kamiyaa/joshuto,installed,cli
jp2a,https://github.com/Talinx/jp2a,installed,cli
jq,https://jqlang.github.io/jq/,installed,cli
kakoune,https://github.com/mawww/kakoune,installed,cli
languagetool,https://www.languagetool.org/,installed,cli
lf,https://godoc.org/github.com/gokcehan/lf,installed,cli
libsixel,https://github.com/saitoha/sixel,installed,cli
llvm,https://llvm.org/,installed,cli
lolcat,https://github.com/busyloop/lolcat,installed,cli
ltex-ls,https://valentjn.github.io/ltex/,installed,cli
lua-language-server,https://github.com/LuaLS/lua-language-server,installed,cli
lynx,https://invisible-island.net/lynx/,installed,cli
macchina,https://github.com/Macchina-CLI/macchina,installed,cli
mackup,https://github.com/lra/mackup,installed,cli
marksman,https://github.com/artempyanykh/marksman,installed,cli
neofetch,https://github.com/dylanaraps/neofetch,installed,cli
neovim,https://neovim.io/,installed,cli
nmap,https://nmap.org/,installed,cli
noti,https://github.com/variadico/noti,installed,cli
openssh,https://www.openssh.com/,installed,cli
pandoc,https://pandoc.org/,installed,cli
pinentry-mac,https://github.com/GPGTools/pinentry,installed,cli
pyenv-virtualenv,https://github.com/pyenv/pyenv-virtualenv,installed,cli
python-lsp-server,https://github.com/python-lsp/python-lsp-server,installed,cli
python@3.9,https://www.python.org/,installed,cli
rename,http://plasmasturm.org/code/rename,installed,cli
ripgrep,https://github.com/BurntSushi/ripgrep,installed,cli
rust-analyzer,https://rust-analyzer.github.io/,installed,cli
rustup-init,https://github.com/rust-lang/rustup,installed,cli
sc-im,https://github.com/andmarti1424/sc-im,installed,cli
sd,https://github.com/chmln/sd,installed,cli
sphinx-doc,https://www.sphinx-doc.org/,installed,cli
starship,https://starship.rs,installed,cli
taplo,https://taplo.tamasfe.dev,installed,cli
taskell,https://taskell.app,installed,cli
tealdeer,https://github.com/dbrgn/tealdeer,installed,cli
terminal-notifier,https://github.com/julienXX/terminal-notifier,installed,cli
tesseract,https://github.com/tesseract-ocr/,installed,cli
texi2html,https://www.nongnu.org/texi2html/,installed,cli
texinfo,https://www.gnu.org/software/texinfo/,installed,cli
tmux,https://tmux.github.io/,installed,cli
tree,http://mama.indstate.edu/users/ice/tree/,installed,cli
trurl,https://curl.se/trurl/,installed,cli
uni,https://github.com/arp242/uni,installed,cli
vim,https://www.vim.org/,installed,cli
w3m,https://w3m.sourceforge.net/,installed,cli
watch,https://gitlab.com/procps-ng/procps,installed,cli
weasyprint,https://www.courtbouillon.org/weasyprint,installed,cli
wget,https://www.gnu.org/software/wget/,installed,cli
yaml-language-server,https://github.com/redhat-developer/yaml-language-server,installed,cli
yq,https://github.com/mikefarah/yq,installed,cli
zlib,https://zlib.net/,installed,cli
zoxide,https://github.com/ajeetdsouza/zoxide,installed,cli
zsh-syntax-highlighting,https://github.com/zsh-users/zsh-syntax-highlighting,installed,cli
